"Day","Median","Lower.Quantile","Upper.Quantile"
2015-04-25,3e+06,2700000,3500000
2015-04-26,3e+06,2700000,5149000
2015-04-27,3e+06,2700000,5149000
2015-04-28,3e+06,2700000,8749000
2015-04-29,3072000,2800000,9380000
2015-04-30,3e+06,2720000,5149000
2015-05-01,3e+06,2800000,5149000
2015-05-02,3e+06,2800000,5149000
2015-05-03,3e+06,2800000,5149000
2015-05-04,3400000,2800000,12650000
2015-05-05,3400000,2800000,12650000
2015-05-06,3500000,3400000,1.3e+07
2015-05-07,3500000,3400000,1.3e+07
2015-05-10,3472000,3400000,1.3e+07
2015-05-11,3500000,3400000,1.3e+07
2015-05-12,3500000,3400000,1.3e+07
2015-05-13,3472000,3369000,1.3e+07
2015-05-15,3500000,3400000,1.3e+07
2015-05-16,3500000,3400000,1.3e+07
2015-05-17,3500000,3369000,1.3e+07
2015-05-18,3700000,3400000,1.3e+07
2015-05-19,12650000,3500000,1.3e+07
2015-05-20,5149000,3450000,1.3e+07
2015-05-21,9380000,3500000,1.3e+07
2015-05-24,12650000,3841700,1.3e+07
